pokemon,pokedex_no,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
aerodactyl,142,80,105,65,60,75,130,1.8,59.0,rock,flying
snorlax,143,160,110,65,65,110,30,2.1,460.0,normal,
articuno,144,90,85,100,95,125,85,1.7,55.4,ice,flying
zapdos,145,90,90,85,125,90,100,1.6,52.6,electric,flying
moltres,146,90,100,90,125,85,90,2.0,60.0,fire,flying
dratini,147,41,64,45,50,50,50,1.8,3.3,dragon,
dragonair,148,61,84,65,70,70,70,4.0,16.5,dragon,
dragonite,149,91,134,95,100,100,80,2.2,210.0,dragon,flying
mewtwo,150,106,110,90,154,90,130,2.0,122.0,psychic,
mew,151,100,100,100,100,100,100,0.4,4.0,psychic,
chikorita,152,45,49,65,49,65,45,0.9,6.4,grass,
bayleef,153,60,62,80,63,80,60,1.2,15.8,grass,
meganium,154,80,82,100,83,100,80,1.8,100.5,grass,
cyndaquil,155,39,52,43,60,50,65,0.5,7.9,fire,
quilava,156,58,64,58,80,65,80,0.9,19.0,fire,
typhlosion,157,78,84,78,109,85,100,1.7,79.5,fire,
totodile,158,50,65,64,44,48,43,0.6,9.5,water,
croconaw,159,65,80,80,59,63,58,1.1,25.0,water,
feraligatr,160,85,105,100,79,83,78,2.3,88.8,water,
sentret,161,35,46,34,35,45,20,0.8,6.0,normal,
furret,162,85,76,64,45,55,90,1.8,32.5,normal,
hoothoot,163,60,30,30,36,56,50,0.7,21.2,normal,flying
noctowl,164,100,50,50,86,96,70,1.6,40.8,normal,flying
ledyba,165,40,20,30,40,80,55,1.0,10.8,bug,flying
ledian,166,55,35,50,55,110,85,1.4,35.6,bug,flying
spinarak,167,40,60,40,40,40,30,0.5,8.5,bug,poison
ariados,168,70,90,70,60,70,40,1.1,33.5,bug,poison
crobat,169,85,90,80,70,80,130,1.8,75.0,poison,flying
chinchou,170,75,38,38,56,56,67,0.5,12.0,water,electric
lanturn,171,125,58,58,76,76,67,1.2,22.5,water,electric
pichu,172,20,40,15,35,35,60,0.3,2.0,electric,
cleffa,173,50,25,28,45,55,15,0.3,3.0,fairy,
igglybuff,174,90,30,15,40,20,15,0.3,1.0,normal,fairy
togepi,175,35,20,65,40,65,20,0.3,1.5,fairy,
togetic,176,55,40,85,80,105,40,0.6,3.2,fairy,flying
natu,177,40,50,45,70,45,70,0.2,2.0,psychic,flying
xatu,178,65,75,70,95,70,95,1.5,15.0,psychic,flying
mareep,179,55,40,40,65,45,35,0.6,7.8,electric,
flaaffy,180,70,55,55,80,60,45,0.8,13.3,electric,
ampharos,181,90,75,85,115,90,55,1.4,61.5,electric,
bellossom,182,75,80,95,90,100,50,0.4,5.8,grass,
marill,183,70,20,50,20,50,40,0.4,8.5,water,fairy
azumarill,184,100,50,80,60,80,50,0.8,28.5,water,fairy
sudowoodo,185,70,100,115,30,65,30,1.2,38.0,rock,
politoed,186,90,75,75,90,100,70,1.1,33.9,water,
hoppip,187,35,35,40,35,55,50,0.4,0.5,grass,flying
skiploom,188,55,45,50,45,65,80,0.6,1.0,grass,flying
jumpluff,189,75,55,70,55,95,110,0.8,3.0,grass,flying
aipom,190,55,70,55,40,55,85,0.8,11.5,normal,
sunkern,191,30,30,30,30,30,30,0.3,1.8,grass,
sunflora,192,75,75,55,105,85,30,0.8,8.5,grass,
yanma,193,65,65,45,75,45,95,1.2,38.0,bug,flying
wooper,194,55,45,45,25,25,15,0.4,8.5,water,ground
quagsire,195,95,85,85,65,65,35,1.4,75.0,water,ground
espeon,196,65,65,60,130,95,110,0.9,26.5,psychic,
umbreon,197,95,65,110,60,130,65,1.0,27.0,dark,
murkrow,198,60,85,42,85,42,91,0.5,2.1,dark,flying
slowking,199,95,75,80,100,110,30,2.0,79.5,water,psychic
misdreavus,200,60,60,60,85,85,85,0.7,1.0,ghost,
unown,201,48,72,48,72,48,48,0.5,5.0,psychic,
wobbuffet,202,190,33,58,33,58,33,1.3,28.5,psychic,
girafarig,203,70,80,65,90,65,85,1.5,41.5,normal,psychic
pineco,204,50,65,90,35,35,15,0.6,7.2,bug,
forretress,205,75,90,140,60,60,40,1.2,125.8,bug,steel
dunsparce,206,100,70,70,65,65,45,1.5,14.0,normal,
gligar,207,65,75,105,35,65,85,1.1,64.8,ground,flying
steelix,208,75,85,200,55,65,30,9.2,400.0,steel,ground
snubbull,209,60,80,50,40,40,30,0.6,7.8,fairy,
granbull,210,90,120,75,60,60,45,1.4,48.7,fairy,
qwilfish,211,65,95,85,55,55,85,0.5,3.9,water,poison
scizor,212,70,130,100,55,80,65,1.8,118.0,bug,steel
shuckle,213,20,10,230,10,230,5,0.6,20.5,bug,rock
heracross,214,80,125,75,40,95,85,1.5,54.0,bug,fighting
sneasel,215,55,95,55,35,75,115,0.9,28.0,dark,ice
teddiursa,216,60,80,50,50,50,40,0.6,8.8,normal,
ursaring,217,90,130,75,75,75,55,1.8,125.8,normal,
slugma,218,40,40,40,70,40,20,0.7,35.0,fire,
magcargo,219,60,50,120,90,80,30,0.8,55.0,fire,rock
swinub,220,50,50,40,30,30,50,0.4,6.5,ice,ground
piloswine,221,100,100,80,60,60,50,1.1,55.8,ice,ground
corsola,222,65,55,95,65,95,35,0.6,5.0,water,rock
remoraid,223,35,65,35,65,35,65,0.6,12.0,water,
octillery,224,75,105,75,105,75,45,0.9,28.5,water,
delibird,225,45,55,45,65,45,75,0.9,16.0,ice,flying
mantine,226,85,40,70,80,140,70,2.1,220.0,water,flying
skarmory,227,65,80,140,40,70,70,1.7,50.5,steel,flying
houndour,228,45,60,30,80,50,65,0.6,10.8,dark,fire
houndoom,229,75,90,50,110,80,95,1.4,35.0,dark,fire
kingdra,230,75,95,95,95,95,85,1.8,152.0,water,dragon
phanpy,231,90,60,60,40,40,40,0.5,33.5,ground,
donphan,232,90,120,120,60,60,50,1.1,120.0,ground,
porygon2,233,85,80,90,105,95,60,0.6,32.5,normal,
stantler,234,73,95,62,85,65,85,1.4,71.2,normal,
smeargle,235,55,20,35,20,45,75,1.2,58.0,normal,
tyrogue,236,35,35,35,35,35,35,0.7,21.0,fighting,
hitmontop,237,50,95,95,35,110,70,1.4,48.0,fighting,
smoochum,238,45,30,15,85,65,65,0.4,6.0,ice,psychic
elekid,239,45,63,37,65,55,95,0.6,23.5,electric,
magby,240,45,75,37,70,55,83,0.7,21.4,fire,
miltank,241,95,80,105,40,70,100,1.2,75.5,normal,
blissey,242,255,10,10,75,135,55,1.5,46.8,normal,
raikou,243,90,85,75,115,100,115,1.9,178.0,electric,
entei,244,115,115,85,90,75,100,2.1,198.0,fire,
suicune,245,100,75,115,90,115,85,2.0,187.0,water,
larvitar,246,50,64,50,45,50,41,0.6,72.0,rock,ground
pupitar,247,70,84,70,65,70,51,1.2,152.0,rock,ground
tyranitar,248,100,134,110,95,100,61,2.0,202.0,rock,dark
lugia,249,106,90,130,90,154,110,5.2,216.0,psychic,flying
ho-oh,250,106,130,90,110,154,90,3.8,199.0,fire,flying
celebi,251,100,100,100,100,100,100,0.6,5.0,psychic,grass
treecko,252,40,45,35,65,55,70,0.5,5.0,grass,
grovyle,253,50,65,45,85,65,95,0.9,21.6,grass,
sceptile,254,70,85,65,105,85,120,1.7,52.2,grass,
torchic,255,45,60,40,70,50,45,0.4,2.5,fire,
combusken,256,60,85,60,85,60,55,0.9,19.5,fire,fighting
blaziken,257,80,120,70,110,70,80,1.9,52.0,fire,fighting
mudkip,258,50,70,50,50,50,40,0.4,7.6,water,
marshtomp,259,70,85,70,60,70,50,0.7,28.0,water,ground
swampert,260,100,110,90,85,90,60,1.5,81.9,water,ground
poochyena,261,35,55,35,30,30,35,0.5,13.6,dark,
mightyena,262,70,90,70,60,60,70,1.0,37.0,dark,
zigzagoon,263,38,30,41,30,41,60,0.4,17.5,normal,
linoone,264,78,70,61,50,61,100,0.5,32.5,normal,
wurmple,265,45,45,35,20,30,20,0.3,3.6,bug,
silcoon,266,50,35,55,25,25,15,0.6,10.0,bug,
beautifly,267,60,70,50,100,50,65,1.0,28.4,bug,flying
cascoon,268,50,35,55,25,25,15,0.7,11.5,bug,
dustox,269,60,50,70,50,90,65,1.2,31.6,bug,poison
lotad,270,40,30,30,40,50,30,0.5,2.6,water,grass
lombre,271,60,50,50,60,70,50,1.2,32.5,water,grass
ludicolo,272,80,70,70,90,100,70,1.5,55.0,water,grass
seedot,273,40,40,50,30,30,30,0.5,4.0,grass,
nuzleaf,274,70,70,40,60,40,60,1.0,28.0,grass,dark
shiftry,275,90,100,60,90,60,80,1.3,59.6,grass,dark
taillow,276,40,55,30,30,30,85,0.3,2.3,normal,flying
swellow,277,60,85,60,75,50,125,0.7,19.8,normal,flying
wingull,278,40,30,30,55,30,85,0.6,9.5,water,flying
pelipper,279,60,50,100,95,70,65,1.2,28.0,water,flying
ralts,280,28,25,25,45,35,40,0.4,6.6,psychic,fairy
kirlia,281,38,35,35,65,55,50,0.8,20.2,psychic,fairy
gardevoir,282,68,65,65,125,115,80,1.6,48.4,psychic,fairy
surskit,283,40,30,32,50,52,65,0.5,1.7,bug,water
masquerain,284,70,60,62,100,82,80,0.8,3.6,bug,flying
shroomish,285,60,40,60,40,60,35,0.4,4.5,grass,
breloom,286,60,130,80,60,60,70,1.2,39.2,grass,fighting
slakoth,287,60,60,60,35,35,30,0.8,24.0,normal,
vigoroth,288,80,80,80,55,55,90,1.4,46.5,normal,
slaking,289,150,160,100,95,65,100,2.0,130.5,normal,
nincada,290,31,45,90,30,30,40,0.5,5.5,bug,ground
ninjask,291,61,90,45,50,50,160,0.8,12.0,bug,flying
shedinja,292,1,90,45,30,30,40,0.8,1.2,bug,ghost
whismur,293,64,51,23,51,23,28,0.6,16.3,normal,
loudred,294,84,71,43,71,43,48,1.0,40.5,normal,
exploud,295,104,91,63,91,73,68,1.5,84.0,normal,
makuhita,296,72,60,30,20,30,25,1.0,86.4,fighting,
hariyama,297,144,120,60,40,60,50,2.3,253.8,fighting,
azurill,298,50,20,40,20,40,20,0.2,2.0,normal,fairy
nosepass,299,30,45,135,45,90,30,1.0,97.0,rock,
skitty,300,50,45,45,35,35,50,0.6,11.0,normal,
delcatty,301,70,65,65,55,55,90,1.1,32.6,normal,
sableye,302,50,75,75,65,65,50,0.5,11.0,dark,ghost
mawile,303,50,85,85,55,55,50,0.6,11.5,steel,fairy
aron,304,50,70,100,40,40,30,0.4,60.0,steel,rock
lairon,305,60,90,140,50,50,40,0.9,120.0,steel,rock
aggron,306,70,110,180,60,60,50,2.1,360.0,steel,rock
meditite,307,30,40,55,40,55,60,0.6,11.2,fighting,psychic
medicham,308,60,60,75,60,75,80,1.3,31.5,fighting,psychic
electrike,309,40,45,40,65,40,65,0.6,15.2,electric,
manectric,310,70,75,60,105,60,105,1.5,40.2,electric,
plusle,311,60,50,40,85,75,95,0.4,4.2,electric,
minun,312,60,40,50,75,85,95,0.4,4.2,electric,
volbeat,313,65,73,75,47,85,85,0.7,17.7,bug,
illumise,314,65,47,75,73,85,85,0.6,17.7,bug,
roselia,315,50,60,45,100,80,65,0.3,2.0,grass,poison
gulpin,316,70,43,53,43,53,40,0.4,10.3,poison,
swalot,317,100,73,83,73,83,55,1.7,80.0,poison,
carvanha,318,45,90,20,65,20,65,0.8,20.8,water,dark
sharpedo,319,70,120,40,95,40,95,1.8,88.8,water,dark
wailmer,320,130,70,35,70,35,60,2.0,130.0,water,
wailord,321,170,90,45,90,45,60,14.5,398.0,water,
numel,322,60,60,40,65,45,35,0.7,24.0,fire,ground
camerupt,323,70,100,70,105,75,40,1.9,220.0,fire,ground
torkoal,324,70,85,140,85,70,20,0.5,80.4,fire,
spoink,325,60,25,35,70,80,60,0.7,30.6,psychic,
grumpig,326,80,45,65,90,110,80,0.9,71.5,psychic,
spinda,327,60,60,60,60,60,60,1.1,5.0,normal,
trapinch,328,45,100,45,45,45,10,0.7,15.0,ground,
vibrava,329,50,70,50,50,50,70,1.1,15.3,ground,dragon
flygon,330,80,100,80,80,80,100,2.0,82.0,ground,dragon
cacnea,331,50,85,40,85,40,35,0.4,51.3,grass,
cacturne,332,70,115,60,115,60,55,1.3,77.4,grass,dark
swablu,333,45,40,60,40,75,50,0.4,1.2,normal,flying
altaria,334,75,70,90,70,105,80,1.1,20.6,dragon,flying
zangoose,335,73,115,60,60,60,90,1.3,40.3,normal,
seviper,336,73,100,60,100,60,65,2.7,52.5,poison,
lunatone,337,90,55,65,95,85,70,1.0,168.0,rock,psychic
solrock,338,90,95,85,55,65,70,1.2,154.0,rock,psychic
barboach,339,50,48,43,46,41,60,0.4,1.9,water,ground
whiscash,340,110,78,73,76,71,60,0.9,23.6,water,ground
corphish,341,43,80,65,50,35,35,0.6,11.5,water,
crawdaunt,342,63,120,85,90,55,55,1.1,32.8,water,dark
baltoy,343,40,40,55,40,70,55,0.5,21.5,ground,psychic
claydol,344,60,70,105,70,120,75,1.5,108.0,ground,psychic
lileep,345,66,41,77,61,87,23,1.0,23.8,rock,grass
cradily,346,86,81,97,81,107,43,1.5,60.4,rock,grass
anorith,347,45,95,50,40,50,75,0.7,12.5,rock,bug
armaldo,348,75,125,100,70,80,45,1.5,68.2,rock,bug
feebas,349,20,15,20,10,55,80,0.6,7.4,water,
milotic,350,95,60,79,100,125,81,6.2,162.0,water,
castform,351,70,70,70,70,70,70,0.3,0.8,normal,
kecleon,352,60,90,70,60,120,40,1.0,22.0,normal,
shuppet,353,44,75,35,63,33,45,0.6,2.3,ghost,
banette,354,64,115,65,83,63,65,1.1,12.5,ghost,
duskull,355,20,40,90,30,90,25,0.8,15.0,ghost,
dusclops,356,40,70,130,60,130,25,1.6,30.6,ghost,
tropius,357,99,68,83,72,87,51,2.0,100.0,grass,flying
chimecho,358,75,50,80,95,90,65,0.6,1.0,psychic,
absol,359,65,130,60,75,60,75,1.2,47.0,dark,
wynaut,360,95,23,48,23,48,23,0.6,14.0,psychic,
snorunt,361,50,50,50,50,50,50,0.7,16.8,ice,
glalie,362,80,80,80,80,80,80,1.5,256.5,ice,
spheal,363,70,40,50,55,50,25,0.8,39.5,ice,water
sealeo,364,90,60,70,75,70,45,1.1,87.6,ice,water
walrein,365,110,80,90,95,90,65,1.4,150.6,ice,water
clamperl,366,35,64,85,74,55,32,0.4,52.5,water,
huntail,367,55,104,105,94,75,52,1.7,27.0,water,
gorebyss,368,55,84,105,114,75,52,1.8,22.6,water,
relicanth,369,100,90,130,45,65,55,1.0,23.4,water,rock
luvdisc,370,43,30,55,40,65,97,0.6,8.7,water,
bagon,371,45,75,60,40,30,50,0.6,42.1,dragon,
shelgon,372,65,95,100,60,50,50,1.1,110.5,dragon,
salamence,373,95,135,80,110,80,100,1.5,102.6,dragon,flying
beldum,374,40,55,80,35,60,30,0.6,95.2,steel,psychic
metang,375,60,75,100,55,80,50,1.2,202.5,steel,psychic
metagross,376,80,135,130,95,90,70,1.6,550.0,steel,psychic
regirock,377,80,100,200,50,100,50,1.7,230.0,rock,
regice,378,80,50,100,100,200,50,1.8,175.0,ice,
registeel,379,80,75,150,75,150,50,1.9,205.0,steel,
latias,380,80,80,90,110,130,110,1.4,40.0,dragon,psychic
latios,381,80,90,80,130,110,110,2.0,60.0,dragon,psychic
kyogre,382,100,100,90,150,140,90,4.5,352.0,water,
groudon,383,100,150,140,100,90,90,3.5,950.0,ground,
rayquaza,384,105,150,90,150,90,95,7.0,206.5,dragon,flying
jirachi,385,100,100,100,100,100,100,0.3,1.1,steel,psychic
deoxys-normal,386,50,150,50,150,50,150,1.7,60.8,psychic,
turtwig,387,55,68,64,45,55,31,0.4,10.2,grass,
grotle,388,75,89,85,55,65,36,1.1,97.0,grass,
torterra,389,95,109,105,75,85,56,2.2,310.0,grass,ground
chimchar,390,44,58,44,58,44,61,0.5,6.2,fire,
monferno,391,64,78,52,78,52,81,0.9,22.0,fire,fighting
infernape,392,76,104,71,104,71,108,1.2,55.0,fire,fighting
piplup,393,53,51,53,61,56,40,0.4,5.2,water,
prinplup,394,64,66,68,81,76,50,0.8,23.0,water,
empoleon,395,84,86,88,111,101,60,1.7,84.5,water,steel
starly,396,40,55,30,30,30,60,0.3,2.0,normal,flying
staravia,397,55,75,50,40,40,80,0.6,15.5,normal,flying
staraptor,398,85,120,70,50,60,100,1.2,24.9,normal,flying
bidoof,399,59,45,40,35,40,31,0.5,20.0,normal,
bibarel,400,79,85,60,55,60,71,1.0,31.5,normal,water
kricketot,401,37,25,41,25,41,25,0.3,2.2,bug,
kricketune,402,77,85,51,55,51,65,1.0,25.5,bug,
shinx,403,45,65,34,40,34,45,0.5,9.5,electric,
luxio,404,60,85,49,60,49,60,0.9,30.5,electric,
luxray,405,80,120,79,95,79,70,1.4,42.0,electric,
budew,406,40,30,35,50,70,55,0.2,1.2,grass,poison
roserade,407,60,70,65,125,105,90,0.9,14.5,grass,poison
cranidos,408,67,125,40,30,30,58,0.9,31.5,rock,
rampardos,409,97,165,60,65,50,58,1.6,102.5,rock,
shieldon,410,30,42,118,42,88,30,0.5,57.0,rock,steel
bastiodon,411,60,52,168,47,138,30,1.3,149.5,rock,steel
burmy,412,40,29,45,29,45,36,0.2,3.4,bug,
wormadam-plant,413,60,59,85,79,105,36,0.5,6.5,bug,grass
mothim,414,70,94,50,94,50,66,0.9,23.3,bug,flying
combee,415,30,30,42,30,42,70,0.3,5.5,bug,flying
vespiquen,416,70,80,102,80,102,40,1.2,38.5,bug,flying
pachirisu,417,60,45,70,45,90,95,0.4,3.9,electric,
buizel,418,55,65,35,60,30,85,0.7,29.5,water,
floatzel,419,85,105,55,85,50,115,1.1,33.5,water,
cherubi,420,45,35,45,62,53,35,0.4,3.3,grass,
cherrim,421,70,60,70,87,78,85,0.5,9.3,grass,
shellos,422,76,48,48,57,62,34,0.3,6.3,water,
gastrodon,423,111,83,68,92,82,39,0.9,29.9,water,ground
ambipom,424,75,100,66,60,66,115,1.2,20.3,normal,
drifloon,425,90,50,34,60,44,70,0.4,1.2,ghost,flying
drifblim,426,150,80,44,90,54,80,1.2,15.0,ghost,flying
buneary,427,55,66,44,44,56,85,0.4,5.5,normal,
lopunny,428,65,76,84,54,96,105,1.2,33.3,normal,
mismagius,429,60,60,60,105,105,105,0.9,4.4,ghost,
honchkrow,430,100,125,52,105,52,71,0.9,27.3,dark,flying
glameow,431,49,55,42,42,37,85,0.5,3.9,normal,
purugly,432,71,82,64,64,59,112,1.0,43.8,normal,
chingling,433,45,30,50,65,50,45,0.2,0.6,psychic,
stunky,434,63,63,47,41,41,74,0.4,19.2,poison,dark
skuntank,435,103,93,67,71,61,84,1.0,38.0,poison,dark
bronzor,436,57,24,86,24,86,23,0.5,60.5,steel,psychic
bronzong,437,67,89,116,79,116,33,1.3,187.0,steel,psychic
bonsly,438,50,80,95,10,45,10,0.5,15.0,rock,
mime-jr,439,20,25,45,70,90,60,0.6,13.0,psychic,fairy
